,0,Pair,launch_week_stamp,launch_day_stamp,launch_minute
0,BTCUSDT,BTC/USDT,1502668800000,1502928000000,2017-08-17 04:00:00
1,LUNAUSDT,LUNA/USDT,1597622400000,1597968000000,2020-08-21 10:00:00
2,ETHUSDT,ETH/USDT,1502668800000,1502928000000,2017-08-17 04:00:00
3,GMTUSDT,GMT/USDT,1646611200000,1646784000000,2022-03-09 12:00:00
4,USTUSDT,UST/USDT,1639958400000,1640304000000,2021-12-24 08:00:00
5,SOLUSDT,SOL/USDT,1597017600000,1597104000000,2020-08-11 06:00:00
6,APEUSDT,APE/USDT,1647216000000,1647475200000,2022-03-17 14:30:00
7,XRPUSDT,XRP/USDT,1525046400000,1525392000000,2018-05-04 08:11:00
8,IDEXUSDT,IDEX/USDT,1630886400000,1631145600000,2021-09-09 08:00:00
9,AVAXUSDT,AVAX/USDT,1600646400000,1600732800000,2020-09-22 06:30:00
10,DOTUSDT,DOT/USDT,1597622400000,1597708800000,2020-08-18 23:00:00
11,ADAUSDT,ADA/USDT,1523836800000,1523923200000,2018-04-17 04:02:00
12,JASMYUSDT,JASMY/USDT,1637539200000,1637539200000,2021-11-22 12:00:00
13,TRXUSDT,TRX/USDT,1528675200000,1528675200000,2018-06-11 11:30:00
14,NEARUSDT,NEAR/USDT,1602460800000,1602633600000,2020-10-14 05:00:00
15,AXSUSDT,AXS/USDT,1604275200000,1604448000000,2020-11-04 13:00:00
16,GALUSDT,GAL/USDT,1651449600000,1651708800000,2022-05-05 12:00:00
17,GALAUSDT,GALA/USDT,1631491200000,1631491200000,2021-09-13 06:00:00
18,SHIBUSDT,SHIB/USDT,1620604800000,1620604800000,2021-05-10 11:00:00
19,ZILUSDT,ZIL/USDT,1550448000000,1550534400000,2019-02-19 11:04:00
20,ENSUSDT,ENS/USDT,1636329600000,1636502400000,2021-11-10 07:00:00
21,DOGEUSDT,DOGE/USDT,1561939200000,1562284800000,2019-07-05 12:00:00
22,LTCUSDT,LTC/USDT,1512950400000,1513123200000,2017-12-13 03:32:00
23,EURUSDT,EUR/USDT,1577664000000,1578009600000,2020-01-03 08:00:00
24,MANAUSDT,MANA/USDT,1596412800000,1596672000000,2020-08-06 10:00:00
25,DARUSDT,DAR/USDT,1635724800000,1635984000000,2021-11-04 08:00:00
26,WAVESUSDT,WAVES/USDT,1547424000000,1547769600000,2019-01-18 10:00:00
27,LAZIOUSDT,LAZIO/USDT,1634515200000,1634774400000,2021-10-21 12:00:00
28,ALICEUSDT,ALICE/USDT,1615766400000,1615766400000,2021-03-15 06:00:00
29,ROSEUSDT,ROSE/USDT,1605484800000,1605744000000,2020-11-19 08:00:00
30,ZECUSDT,ZEC/USDT,1552867200000,1553126400000,2019-03-21 04:00:00
31,ALGOUSDT,ALGO/USDT,1560729600000,1561161600000,2019-06-22 00:00:00
32,GRTUSDT,GRT/USDT,1607904000000,1608163200000,2020-12-17 20:30:00
33,PSGUSDT,PSG/USDT,1608508800000,1608508800000,2020-12-21 06:00:00
34,SLPUSDT,SLP/USDT,1619395200000,1619740800000,2021-04-30 12:00:00
35,EOSUSDT,EOS/USDT,1527465600000,1527465600000,2018-05-28 05:00:00
36,PORTOUSDT,PORTO/USDT,1636934400000,1637020800000,2021-11-16 12:00:00
37,ICPUSDT,ICP/USDT,1620604800000,1620691200000,2021-05-11 01:00:00
38,EGLDUSDT,EGLD/USDT,1598832000000,1599091200000,2020-09-03 03:00:00
39,XMRUSDT,XMR/USDT,1552262400000,1552608000000,2019-03-15 04:00:00
40,KDAUSDT,KDA/USDT,1646611200000,1646956800000,2022-03-11 11:30:00
41,ETCUSDT,ETC/USDT,1528675200000,1528761600000,2018-06-12 02:30:00
42,MBOXUSDT,MBOX/USDT,1629072000000,1629331200000,2021-08-19 08:00:00
43,OGNUSDT,OGN/USDT,1578268800000,1578528000000,2020-01-09 03:00:00
44,ARUSDT,AR/USDT,1620604800000,1620950400000,2021-05-14 12:00:00
45,GLMRUSDT,GLMR/USDT,1641772800000,1641859200000,2022-01-11 16:00:00
46,LOKAUSDT,LOKA/USDT,1642377600000,1642636800000,2022-01-20 12:00:00
47,XLMUSDT,XLM/USDT,1527465600000,1527724800000,2018-05-31 09:30:00
48,MTLUSDT,MTL/USDT,1566172800000,1566518400000,2019-08-23 10:00:00
49,SNXUSDT,SNX/USDT,1593993600000,1594252800000,2020-07-09 12:00:00
50,PYRUSDT,PYR/USDT,1637539200000,1637884800000,2021-11-26 08:00:00
51,DASHUSDT,DASH/USDT,1553472000000,1553731200000,2019-03-28 04:00:00
52,CITYUSDT,CITY/USDT,1636329600000,1636502400000,2021-11-10 08:00:00
53,ASTRUSDT,ASTR/USDT,1646006400000,1646006400000,2022-02-28 11:30:00
54,IOTAUSDT,IOTA/USDT,1527465600000,1527724800000,2018-05-31 09:30:00
55,ACMUSDT,ACM/USDT,1613952000000,1614124800000,2021-02-24 11:00:00
56,BARUSDT,BAR/USDT,1618790400000,1618963200000,2021-04-21 11:00:00
57,JUVUSDT,JUV/USDT,1608508800000,1608508800000,2020-12-21 06:00:00
58,SYSUSDT,SYS/USDT,1632096000000,1632441600000,2021-09-24 10:00:00
59,RVNUSDT,RVN/USDT,1569196800000,1569369600000,2019-09-25 12:00:00
60,MBLUSDT,MBL/USDT,1581897600000,1582243200000,2020-02-21 14:00:00
61,RENUSDT,REN/USDT,1569196800000,1569369600000,2019-09-25 12:00:00
62,JSTUSDT,JST/USDT,1597017600000,1597104000000,2020-08-11 06:00:00
63,OMGUSDT,OMG/USDT,1554076800000,1554249600000,2019-04-03 04:00:00
64,ATMUSDT,ATM/USDT,1609113600000,1609286400000,2020-12-30 06:00:00
65,XECUSDT,XEC/USDT,1630281600000,1630627200000,2021-09-03 10:00:00
66,STORJUSDT,STORJ/USDT,1595808000000,1596067200000,2020-07-30 05:00:00
67,ZRXUSDT,ZRX/USDT,1551052800000,1551312000000,2019-02-28 04:00:00
68,SRMUSDT,SRM/USDT,1597017600000,1597104000000,2020-08-11 13:30:00
69,ICXUSDT,ICX/USDT,1528675200000,1528848000000,2018-06-13 08:01:00
70,API3USDT,API3/USDT,1642377600000,1642723200000,2022-01-21 10:30:00
71,ONTUSDT,ONT/USDT,1528070400000,1528416000000,2018-06-08 07:00:00
72,SKLUSDT,SKL/USDT,1606694400000,1606780800000,2020-12-01 01:00:00
73,MULTIUSDT,MULTI/USDT,1649030400000,1649203200000,2022-04-06 04:00:00
74,QTUMUSDT,QTUM/USDT,1521417600000,1521417600000,2018-03-19 08:48:00
75,COCOSUSDT,COCOS/USDT,1566172800000,1566345600000,2019-08-21 11:00:00
76,VOXELUSDT,VOXEL/USDT,1639353600000,1639440000000,2021-12-14 12:00:00
77,HIVEUSDT,HIVE/USDT,1587945600000,1587945600000,2020-04-27 05:00:00
78,KP3RUSDT,KP3R/USDT,1636329600000,1636675200000,2021-11-12 10:00:00
79,ATAUSDT,ATA/USDT,1623024000000,1623024000000,2021-06-07 06:00:00
80,STMXUSDT,STMX/USDT,1591574400000,1591833600000,2020-06-11 03:00:00
81,ADXUSDT,ADX/USDT,1635120000000,1635465600000,2021-10-29 10:00:00
82,HIGHUSDT,HIGH/USDT,1639353600000,1639699200000,2021-12-17 07:00:00
83,NULSUSDT,NULS/USDT,1532304000000,1532304000000,2018-07-23 04:02:00
84,MLNUSDT,MLN/USDT,1625443200000,1625443200000,2021-07-05 06:00:00
85,YGGUSDT,YGG/USDT,1632096000000,1632441600000,2021-09-24 06:00:00
86,SCUSDT,SC/USDT,1593993600000,1593993600000,2020-07-06 05:00:00
87,CKBUSDT,CKB/USDT,1611532800000,1611619200000,2021-01-26 12:00:00
88,TOMOUSDT,TOMO/USDT,1566172800000,1566604800000,2019-08-24 13:00:00
89,STXUSDT,STX/USDT,1571616000000,1571961600000,2019-10-25 04:00:00
90,FLUXUSDT,FLUX/USDT,1638748800000,1639094400000,2021-12-10 06:00:00
91,DNTUSDT,DNT/USDT,1604880000000,1604966400000,2020-11-10 06:00:00
92,ORNUSDT,ORN/USDT,1601251200000,1601424000000,2020-09-30 06:00:00
93,PLAUSDT,PLA/USDT,1637539200000,1637625600000,2021-11-23 06:00:00
94,BADGERUSDT,BADGER/USDT,1614556800000,1614643200000,2021-03-02 08:00:00
95,DFUSDT,DF/USDT,1632096000000,1632441600000,2021-09-24 10:00:00
96,MOBUSDT,MOB/USDT,1650844800000,1651190400000,2022-04-29 10:00:00
97,LPTUSDT,LPT/USDT,1621814400000,1622160000000,2021-05-28 05:00:00
98,SCRTUSDT,SCRT/USDT,1642377600000,1642723200000,2022-01-21 12:00:00
99,RADUSDT,RAD/USDT,1633305600000,1633564800000,2021-10-07 07:00:00
100,NMRUSDT,NMR/USDT,1597622400000,1597795200000,2020-08-19 12:00:00
101,ELFUSDT,ELF/USDT,1630886400000,1631059200000,2021-09-08 08:00:00
102,TORNUSDT,TORN/USDT,1623024000000,1623369600000,2021-06-11 06:00:00
103,TUSDT,T/USDT,1645401600000,1645747200000,2022-02-25 04:00:00
104,QUICKUSDT,QUICK/USDT,1628467200000,1628812800000,2021-08-13 12:00:00
105,LSKUSDT,LSK/USDT,1580688000000,1580947200000,2020-02-06 10:00:00
106,FIDAUSDT,FIDA/USDT,1632700800000,1632960000000,2021-09-30 12:00:00
107,XNOUSDT,XNO/USDT,1642982400000,1643328000000,2022-01-28 08:00:00
108,BTGUSDT,BTG/USDT,1618185600000,1618531200000,2021-04-16 07:00:00
109,GHSTUSDT,GHST/USDT,1629072000000,1629417600000,2021-08-20 10:00:00
110,EPSUSDT,EPS/USDT,1616976000000,1617321600000,2021-04-02 09:00:00
